"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 09 06:46:22 GMT+08:00 2025","Tue Dec 09 07:14:45 GMT+08:00 2025","1703000","","Yichun_Ye_Runin_Test","","","","runin_dc_cycle_#5",""
"passed","Wed Dec 10 10:57:36 GMT+08:00 2025","Wed Dec 10 12:16:40 GMT+08:00 2025","4744000","","Yichun_Ye_Runin_Test","","","","mix_stress_medium",""
"passed","Mon Dec 08 21:45:43 GMT+08:00 2025","Mon Dec 08 22:25:14 GMT+08:00 2025","2371000","","Yichun_Ye_Runin_Test","","","","BIOS_PPR_Set_Check",""
"passed","Tue Dec 09 10:29:50 GMT+08:00 2025","Tue Dec 09 16:49:41 GMT+08:00 2025","22791000","","Yichun_Ye_Runin_Test","","","","mix_stress_long",""
"passed","Mon Dec 08 21:36:10 GMT+08:00 2025","Mon Dec 08 21:44:28 GMT+08:00 2025","498000","","Yichun_Ye_Runin_Test","","","","Prepare",""
"passed","Tue Dec 09 03:02:49 GMT+08:00 2025","Tue Dec 09 03:31:41 GMT+08:00 2025","1732000","","Yichun_Ye_Runin_Test","","","","runin_ac_cycle_#3",""
"passed","Tue Dec 09 04:55:05 GMT+08:00 2025","Tue Dec 09 05:22:12 GMT+08:00 2025","1627000","","Yichun_Ye_Runin_Test","","","","runin_dc_cycle",""
"passed","Mon Dec 08 21:44:30 GMT+08:00 2025","Mon Dec 08 21:45:42 GMT+08:00 2025","72000","","Yichun_Ye_Runin_Test","","","","Config_Log_Check",""
"passed","Wed Dec 10 19:57:48 GMT+08:00 2025","Wed Dec 10 19:58:51 GMT+08:00 2025","63000","","Yichun_Ye_Runin_Test","","","","End",""
"passed","Tue Dec 09 06:17:42 GMT+08:00 2025","Tue Dec 09 06:46:19 GMT+08:00 2025","1717000","","Yichun_Ye_Runin_Test","","","","runin_dc_cycle_#4",""
